A-MYB 	 ENSMUSG00000025912 
FOXC1 	 ENSMUSG00000050295 
FOXC2 	 ENSMUSG00000046714 
FOXD1 	 ENSMUSG00000078302 
FOXD2 	 ENSMUSG00000055210 
FOXD3 	 ENSMUSG00000067261 
FOXD4 	 ENSMUSG00000051490 
FOXE1 	 ENSMUSG00000070990 
FOXE3 	 ENSMUSG00000044518 
FOXF1 	 ENSMUSG00000042812 
FOXF2 	 ENSMUSG00000038402 
FOXG1 	 ENSMUSG00000020950 
FOXG1 	 ENSMUSG00000089922 
FOXH1 	 ENSMUSG00000033837 
FOXI1 	 ENSMUSG00000047861 
FOXI2 	 ENSMUSG00000048377 
FOXI3 	 ENSMUSG00000055874 
FOXJ1 	 ENSMUSG00000034227 
FOXJ2 	 ENSMUSG00000003154 
FOXJ3 	 ENSMUSG00000032998 
FOXK1 	 ENSMUSG00000056493 
FOXK2 	 ENSMUSG00000039275 
FOXL1 	 ENSMUSG00000097084 
FOXL2 	 ENSMUSG00000050397 
FOXM1 	 ENSMUSG00000001517 
FOXN1 	 ENSMUSG00000002057 
FOXN2 	 ENSMUSG00000034998 
FOXN3 	 ENSMUSG00000033713 
FOXN4 	 ENSMUSG00000042002 
FOXO1 	 ENSMUSG00000044167 
FOXO3 	 ENSMUSG00000048756 
FOXO4 	 ENSMUSG00000042903 
FOXO6 	 ENSMUSG00000052135 
FOXP1 	 ENSMUSG00000030067 
FOXP2 	 ENSMUSG00000029563 
FOXP3 	 ENSMUSG00000039521 
FOXP4 	 ENSMUSG00000023991 
FOXQ1 	 ENSMUSG00000038415 
FOXR1 	 ENSMUSG00000074397 
FOXR2 	 ENSMUSG00000071665 
FOXS1 	 ENSMUSG00000074676 
FXR 	 ENSMUSG00000047638 
FosB 	 ENSMUSG00000003545 
Fra1 	 ENSMUSG00000024912 
Fra2 	 ENSMUSG00000029135 
GABPA 	 ENSMUSG00000008976 
GATA1 	 ENSMUSG00000031162 
GATA2 	 ENSMUSG00000015053 
GATA3 	 ENSMUSG00000015619 
GATA4 	 ENSMUSG00000021944 
GATA5 	 ENSMUSG00000015627 
GATA6 	 ENSMUSG00000005836 
GATAD1 	 ENSMUSG00000007415 
GATAD2A 	 ENSMUSG00000036180 
GATAD2B 	 ENSMUSG00000042390 
GBX1 	 ENSMUSG00000067724 
GBX2 	 ENSMUSG00000034486 
GCM1 	 ENSMUSG00000023333 
GCM2 	 ENSMUSG00000021362 
GFI1 	 ENSMUSG00000029275 
GFI1B 	 ENSMUSG00000026815 
GLI1 	 ENSMUSG00000025407 
GLI2 	 ENSMUSG00000048402 
GLI3 	 ENSMUSG00000021318 
GLIS1 	 ENSMUSG00000034762 
GLIS2 	 ENSMUSG00000014303 
GLIS3 	 ENSMUSG00000052942 
GMEB1 	 ENSMUSG00000028901 
GMEB2 	 ENSMUSG00000038705 
GR 	 ENSMUSG00000024431 
GRHL1 	 ENSMUSG00000020656 
GRHL2 	 ENSMUSG00000022286 
GRHL3 	 ENSMUSG00000037188 
GSC 	 ENSMUSG00000021095 
GSC2 	 ENSMUSG00000022738 
GSX1 	 ENSMUSG00000053129 
GSX2 	 ENSMUSG00000035946 
GTF3A 	 ENSMUSG00000016503 
GZF1 	 ENSMUSG00000027439 
HAND1 	 ENSMUSG00000037335 
HBP1 	 ENSMUSG00000002996 
HDX 	 ENSMUSG00000034551 
HELT 	 ENSMUSG00000047171 
HEN1-UP> rdf:type owl:Class ;	<http://sybig.de/tfclass#Mus_musculus_bHLH-EC2 	 ENSMUSG00000068079 
HEN2 	 ENSMUSG00000048540 
HES1 	 ENSMUSG00000022528 
HES2 	 ENSMUSG00000028940 
HES3 	 ENSMUSG00000028946 
HES5 	 ENSMUSG00000048001 
HES6 	 ENSMUSG00000067071 
HES7 	 ENSMUSG00000023781 
HESX1 	 ENSMUSG00000040726 
HEY1 	 ENSMUSG00000040289 
HEY2 	 ENSMUSG00000019789 
HEYL 	 ENSMUSG00000032744 
HHEX 	 ENSMUSG00000024986 
HIC1 	 ENSMUSG00000043099 
HIC2 	 ENSMUSG00000050240 
HIF1alpha 	 ENSMUSG00000021109 
HIF3alpha 	 ENSMUSG00000004328 
HINFP 	 ENSMUSG00000032119 
HIVEP1 	 ENSMUSG00000021366 
HIVEP2 	 ENSMUSG00000015501 
HIVEP3 	 ENSMUSG00000028634 
HLF 	 ENSMUSG00000003949 
HLX1 	 ENSMUSG00000039377 
HMBOX1 	 ENSMUSG00000021972 
HMG20A 	 ENSMUSG00000032329 
HMG20B 	 ENSMUSG00000020232 
HMGA2 	 ENSMUSG00000056758 
HMGXB3 	 ENSMUSG00000024622 
HMGXB4 	 ENSMUSG00000034518 
HMX1 	 ENSMUSG00000067438 
HMX2 	 ENSMUSG00000050100 
HMX3 	 ENSMUSG00000040148 
HNF1A 	 ENSMUSG00000029556 
HNF1B 	 ENSMUSG00000020679 
HNF4alpha 	 ENSMUSG00000017950 
HNF4gamma 	 ENSMUSG00000017688 
HOMEZ 	 ENSMUSG00000057156 
HOPX 	 ENSMUSG00000059325 
HOXA1 	 ENSMUSG00000029844 
HOXA10 	 ENSMUSG00000000938 
HOXA11 	 ENSMUSG00000038210 
HOXA13 	 ENSMUSG00000038203 
HOXA2 	 ENSMUSG00000014704 
HOXA3 	 ENSMUSG00000079560 
HOXA4 	 ENSMUSG00000000942 
HOXA5 	 ENSMUSG00000038253 
HOXA6 	 ENSMUSG00000043219 
HOXA7 	 ENSMUSG00000038236 
HOXA9 	 ENSMUSG00000038227 
HOXB1 	 ENSMUSG00000018973 
HOXB13 	 ENSMUSG00000049604 
HOXB2 	 ENSMUSG00000075588 
HOXB3 	 ENSMUSG00000048763 
HOXB4 	 ENSMUSG00000038692 
HOXB5 	 ENSMUSG00000038700 
HOXB6 	 ENSMUSG00000000690 
HOXB7 	 ENSMUSG00000038721 
HOXB8 	 ENSMUSG00000056648 
HOXB9 	 ENSMUSG00000020875 
HOXC10 	 ENSMUSG00000022484 
HOXC11 	 ENSMUSG00000001656 
HOXC12 	 ENSMUSG00000050328 
HOXC13 	 ENSMUSG00000001655 
HOXC4 	 ENSMUSG00000075394 
HOXC5 	 ENSMUSG00000022485 
HOXC6 	 ENSMUSG00000001661 
HOXC8 	 ENSMUSG00000001657 
HOXC9 	 ENSMUSG00000036139 
HOXD1 	 ENSMUSG00000042448 
HOXD10 	 ENSMUSG00000050368 
HOXD11 	 ENSMUSG00000042499 
HOXD12 	 ENSMUSG00000001823 
HOXD13 	 ENSMUSG00000001819 
HOXD3 	 ENSMUSG00000079277 
HOXD8 	 ENSMUSG00000027102 
HOXD9 	 ENSMUSG00000043342 
HSF1 	 ENSMUSG00000022556 
HSF2 	 ENSMUSG00000019878 
HSF3 	 ENSMUSG00000045802 
HSF4 	 ENSMUSG00000033249 
HSF5 	 ENSMUSG00000070345 
HSFY1 	 ENSMUSG00000045336 
HTF4 	 ENSMUSG00000032228 
ID1 	 ENSMUSG00000042745 
ID2 	 ENSMUSG00000020644 
ID3 	 ENSMUSG00000007872 
ID4 	 ENSMUSG00000021379 
IKZF1 	 ENSMUSG00000018654 
IKZF2 	 ENSMUSG00000025997 
IKZF3 	 ENSMUSG00000018168 
IKZF4 	 ENSMUSG00000002578 
IKZF5 	 ENSMUSG00000040167 
INSM1 	 ENSMUSG00000068154 
INSM2 	 ENSMUSG00000045440 
IRF1 	 ENSMUSG00000018899 
IRF2 	 ENSMUSG00000031627 
IRF3 	 ENSMUSG00000003184 
IRF4 	 ENSMUSG00000021356 
IRF5 	 ENSMUSG00000029771 
IRF6 	 ENSMUSG00000026638 
IRF7 	 ENSMUSG00000025498 
IRF8 	 ENSMUSG00000041515 
IRF9 	 ENSMUSG00000002325 
IRX1 	 ENSMUSG00000060969 
IRX2 	 ENSMUSG00000001504 
IRX3 	 ENSMUSG00000031734 
IRX4 	 ENSMUSG00000021604 
IRX5 	 ENSMUSG00000031737 
IRX6 	 ENSMUSG00000031738 
ISL1 	 ENSMUSG00000042258 
ISL2 	 ENSMUSG00000032318 
ISX 	 ENSMUSG00000031621 
JARID1A 	 ENSMUSG00000030180 
JARID1B 	 ENSMUSG00000042207 
JARID1C 	 ENSMUSG00000025332 
JARID1C 	 ENSMUSG00000056673 
JARID2 	 ENSMUSG00000038518 
JDP2 	 ENSMUSG00000034271 
JunB 	 ENSMUSG00000052837 
JunD 	 ENSMUSG00000071076 
KAT5 	 ENSMUSG00000024926 
KDM2A 	 ENSMUSG00000054611 
KLF1 	 ENSMUSG00000054191 
KLF10 	 ENSMUSG00000037465 
KLF11 	 ENSMUSG00000020653 
KLF12 	 ENSMUSG00000072294 
KLF13 	 ENSMUSG00000052040 
KLF14 	 ENSMUSG00000073209 
KLF15 	 ENSMUSG00000030087 
KLF16 	 ENSMUSG00000035397 
KLF17 	 ENSMUSG00000048626 
KLF2 	 ENSMUSG00000055148 
KLF3 	 ENSMUSG00000029178 
KLF4 	 ENSMUSG00000003032 
KLF5 	 ENSMUSG00000005148 
KLF6 	 ENSMUSG00000000078 
KLF7 	 ENSMUSG00000025959 
KLF8 	 ENSMUSG00000041649 
KLF9 	 ENSMUSG00000033863 
KMT2B 	 ENSMUSG00000006307 
L3MBTL1 	 ENSMUSG00000035576 
LBX1 	 ENSMUSG00000025216 
LBX2 	 ENSMUSG00000034968 
LEF1 	 ENSMUSG00000027985 
LHX1 	 ENSMUSG00000018698 
LHX2 	 ENSMUSG00000000247 
LHX3 	 ENSMUSG00000026934 
LHX4 	 ENSMUSG00000026468 
LHX5 	 ENSMUSG00000029595 
LHX6 	 ENSMUSG00000026890 
LHX8 	 ENSMUSG00000096225 
LHX9 	 ENSMUSG00000019230 
LMX1alpha 	 ENSMUSG00000026686 
LMX1beta 	 ENSMUSG00000038765 
LMYC 	 ENSMUSG00000028654 
LRRFIP1 	 ENSMUSG00000026305 
LRRFIP2 	 ENSMUSG00000032497 
LXRalpha 	 ENSMUSG00000002108 
LXRbeta 	 ENSMUSG00000060601 
LYAR 	 ENSMUSG00000067367 
LYL1 	 ENSMUSG00000034041 
MAD5 	 ENSMUSG00000033943 
MAFA 	 ENSMUSG00000047591 
MAFB 	 ENSMUSG00000074622 
MAFF 	 ENSMUSG00000042622 
MAFK 	 ENSMUSG00000018143 
MAX 	 ENSMUSG00000059436 
MAZ 	 ENSMUSG00000030678 
MBD1 	 ENSMUSG00000024561 
MEF2A 	 ENSMUSG00000030557 
MEF2B 	 ENSMUSG00000002345 
MEF2B 	 ENSMUSG00000079033 
MEF2C 	 ENSMUSG00000005583 
MEF2D 	 ENSMUSG00000001419 
MEIS1 	 ENSMUSG00000020160 
MEIS2 	 ENSMUSG00000027210 
MEIS3 	 ENSMUSG00000041420 
MEOX1 	 ENSMUSG00000001493 
MEOX2 	 ENSMUSG00000036144 
MESP1 	 ENSMUSG00000030544 
MESP2 	 ENSMUSG00000030543 
MGA 	 ENSMUSG00000033943 
MIER1 	 ENSMUSG00000028522 
MIER2 	 ENSMUSG00000042570 
MIER3 	 ENSMUSG00000032727 
MITF 	 ENSMUSG00000035158 
MIXL1 	 ENSMUSG00000026497 
MKX 	 ENSMUSG00000061013 
MLL 	 ENSMUSG00000002028 
MLX 	 ENSMUSG00000017801 
MNT 	 ENSMUSG00000000282 
MNX1 	 ENSMUSG00000001566 
MONDOA 	 ENSMUSG00000038342 
MONDOB 	 ENSMUSG00000005373 
MR 	 ENSMUSG00000031618 
MSANTD1 	 ENSMUSG00000051246 
MSC 	 ENSMUSG00000025930 
MSGN1 	 ENSMUSG00000047002 
MSX1 	 ENSMUSG00000048450 
MSX2 	 ENSMUSG00000021469 
MSX3 	 ENSMUSG00000025469 
MTA1 	 ENSMUSG00000021144 
MTA2 	 ENSMUSG00000071646 
MTA3 	 ENSMUSG00000055817 
MTF1 	 ENSMUSG00000028890 
MXD1 	 ENSMUSG00000001156 
MXD3 	 ENSMUSG00000021485 
MXD4 	 ENSMUSG00000037235 
MXI1 	 ENSMUSG00000025025 
MYB 	 ENSMUSG00000019982 
MYF5 	 ENSMUSG00000000435 
MYF6 	 ENSMUSG00000035923 
MYNN 	 ENSMUSG00000037730 
MYOG 	 ENSMUSG00000026459 
MYPOP 	 ENSMUSG00000048481 
MYRF 	 ENSMUSG00000036098 
MYST1 	 ENSMUSG00000030801 
MYST2 	 ENSMUSG00000038909 
MYST3 	 ENSMUSG00000031540 
MYST4 	 ENSMUSG00000021767 
MYT1 	 ENSMUSG00000010505 
MYT1L 	 ENSMUSG00000061911 
MZF1 	 ENSMUSG00000030380 
MyoD 	 ENSMUSG00000009471 
NANOG 	 ENSMUSG00000012396 
NCOA1 	 ENSMUSG00000020647 
NCOA2 	 ENSMUSG00000005886 
NCOA3 	 ENSMUSG00000027678 
NCoR1 	 ENSMUSG00000018501 
NCoR2 	 ENSMUSG00000029478 
NEUROD1 	 ENSMUSG00000034701 
NEUROD2 	 ENSMUSG00000038255 
NEUROD4 	 ENSMUSG00000048015 
NEUROD6 	 ENSMUSG00000037984 
NF1A 	 ENSMUSG00000028565 
NF1B 	 ENSMUSG00000008575 
NF1C 	 ENSMUSG00000055053 
NF1X 	 ENSMUSG00000001911 
NFAT5 	 ENSMUSG00000003847 
NFATc1 	 ENSMUSG00000033016 
NFATc2 	 ENSMUSG00000027544 
NFATc3 	 ENSMUSG00000031902 
NFATc4 	 ENSMUSG00000023411 
NFE2 	 ENSMUSG00000058794 
NFE2L1 	 ENSMUSG00000038615 
NFE2L2 	 ENSMUSG00000015839 
NFE2L3 	 ENSMUSG00000029832 
NFIL3 	 ENSMUSG00000056749 
NFKB2 	 ENSMUSG00000025225 
NFX1 	 ENSMUSG00000028423 
NFX1 	 ENSMUSG00000039501 
NFXL1 	 ENSMUSG00000072889 
NFYA 	 ENSMUSG00000023994 
NFYB 	 ENSMUSG00000020248 
NFYC 	 ENSMUSG00000032897 
NGFIB 	 ENSMUSG00000023034 
NGN1 	 ENSMUSG00000048904 
NGN2 	 ENSMUSG00000027967 
NGN3 	 ENSMUSG00000044312 
NKX1-1 	 ENSMUSG00000029112 
NKX1-2 	 ENSMUSG00000048528 
NKX2-1 	 ENSMUSG00000001496 
NKX2-2 	 ENSMUSG00000027434 
NKX2-3 	 ENSMUSG00000044220 
NKX2-4 	 ENSMUSG00000054160 
NKX2-5 	 ENSMUSG00000015579 
NKX2-6 	 ENSMUSG00000044186 
NKX2-8 	 ENSMUSG00000058669 
NKX3-1 	 ENSMUSG00000022061 
NKX3-2 	 ENSMUSG00000049691 
NKX6-1 	 ENSMUSG00000035187 
NKX6-2 	 ENSMUSG00000041309 
NKX6-3 	 ENSMUSG00000063672 
NMYC 	 ENSMUSG00000037169 
NOBOX 	 ENSMUSG00000029736 
NOR1 	 ENSMUSG00000028341 
NOTO 	 ENSMUSG00000068302 
NPAS1 	 ENSMUSG00000001988 
NPAS2 	 ENSMUSG00000026077 
NPAS3 	 ENSMUSG00000021010 
NPAS4 	 ENSMUSG00000045903 
NR0B1 	 ENSMUSG00000025056 
NR0B2 	 ENSMUSG00000037583 
NR2F6 	 ENSMUSG00000002393 
NR5A1 	 ENSMUSG00000026751 
NR5A2 	 ENSMUSG00000026398 
NR6A1 	 ENSMUSG00000063972 
NRF1 	 ENSMUSG00000058440 
NRL 	 ENSMUSG00000040632 
NURR1 	 ENSMUSG00000026826 
NonO 	 ENSMUSG00000028820 
NonO 	 ENSMUSG00000031311 
OLIG1 	 ENSMUSG00000046160 
OLIG2 	 ENSMUSG00000039830 
OLIG3 	 ENSMUSG00000045591 
ONECUT1 	 ENSMUSG00000043013 
ONECUT2 	 ENSMUSG00000045991 
ONECUT3 	 ENSMUSG00000045518 
OSR1 	 ENSMUSG00000048387 
OSR2 	 ENSMUSG00000022330 
OSR2 	 ENSMUSG00000048387 
OTP 	 ENSMUSG00000021685 
OTX1 	 ENSMUSG00000005917 
OTX2 	 ENSMUSG00000021848 
OVOL1 	 ENSMUSG00000024922 
OVOL2 	 ENSMUSG00000037279 
PATZ1 	 ENSMUSG00000020453 
PAX1 	 ENSMUSG00000037034 
PAX2 	 ENSMUSG00000004231 
PAX3 	 ENSMUSG00000004872 
PAX4 	 ENSMUSG00000029706 
PAX5 	 ENSMUSG00000014030 
PAX6 	 ENSMUSG00000027168 
PAX7 	 ENSMUSG00000028736 
PAX8 	 ENSMUSG00000026976 
PAX9 	 ENSMUSG00000001497 
PBRM1 	 ENSMUSG00000042323 
PBX1 	 ENSMUSG00000052534 
PBX2 	 ENSMUSG00000034673 
PBX3 	 ENSMUSG00000038718 
PBX4 	 ENSMUSG00000031860 
PDX1 	 ENSMUSG00000029644 
PEG3 	 ENSMUSG00000002265 
PHF5A 	 ENSMUSG00000061360 
PHOX2A 	 ENSMUSG00000007946 
PHOX2B 	 ENSMUSG00000012520 
PHTF1 	 ENSMUSG00000058388 
PHTF2 	 ENSMUSG00000039987 
PITX1 	 ENSMUSG00000021506 
PITX2 	 ENSMUSG00000028023 
PITX3 	 ENSMUSG00000025229 
PKNOX1 	 ENSMUSG00000006705 
PKNOX2 	 ENSMUSG00000035934 
PLAG1 	 ENSMUSG00000003282 
PLAGL1 	 ENSMUSG00000019817 
PLAGL2 	 ENSMUSG00000051413 
PNR 	 ENSMUSG00000032292 
POGZ 	 ENSMUSG00000038902 
POU1F1 	 ENSMUSG00000004842 
POU2F1 	 ENSMUSG00000026565 
POU2F2 	 ENSMUSG00000008496 
POU2F3 	 ENSMUSG00000032015 
POU3F1 	 ENSMUSG00000090125 
POU3F2 	 ENSMUSG00000095139 
POU3F3 	 ENSMUSG00000045515 
POU3F4 	 ENSMUSG00000056854 
POU4F1 	 ENSMUSG00000048349 
POU4F2 	 ENSMUSG00000031688 
POU4F3 	 ENSMUSG00000024497 
POU5F1 	 ENSMUSG00000024406 
POU5F2 	 ENSMUSG00000093668 
POU6F1 	 ENSMUSG00000009739 
POU6F1 	 ENSMUSG00000098598 
POU6F2 	 ENSMUSG00000009734 
PPARalpha 	 ENSMUSG00000022383 
PPARbeta 	 ENSMUSG00000002250 
PPARgamma 	 ENSMUSG00000000440 
PR 	 ENSMUSG00000031870 
PRDM1 	 ENSMUSG00000038151 
PRDM10 	 ENSMUSG00000042496 
PRDM13 	 ENSMUSG00000040478 
PRDM14 	 ENSMUSG00000042414 
PRDM15 	 ENSMUSG00000014039 
PRDM16 	 ENSMUSG00000039410 
PRDM2 	 ENSMUSG00000057637 
PRDM4 	 ENSMUSG00000035529 
PRDM5 	 ENSMUSG00000029913 
PRDM6 	 ENSMUSG00000069378 
PRDM8 	 ENSMUSG00000035456 
PRDM9 	 ENSMUSG00000051977 
PRKRIR 	 ENSMUSG00000030753 
PROP1 	 ENSMUSG00000044542 
PROX1 	 ENSMUSG00000010175 
PROX2 	 ENSMUSG00000042320 
PRRX1 	 ENSMUSG00000026586 
PRRX2 	 ENSMUSG00000039476 
PSPC1 	 ENSMUSG00000021938 
PTF1a 	 ENSMUSG00000026735 
PURA 	 ENSMUSG00000043991 
PURB 	 ENSMUSG00000094483 
PURG 	 ENSMUSG00000049184 
PXR 	 ENSMUSG00000022809 
RAI 	 ENSMUSG00000040734 
RARA 	 ENSMUSG00000037992 
RARB 	 ENSMUSG00000017491 
RARG 	 ENSMUSG00000001288 
RAX 	 ENSMUSG00000024518 
RBAK 	 ENSMUSG00000029587 
