A-MYB 	 ENSG00000185697 
DUX4 	 ENSG00000258389 
DUX4 	 ENSG00000258697 
DUX4 	 ENSG00000258755 
DUX4 	 ENSG00000259034 
DUX4 	 ENSG00000259063 
DUX4 	 ENSG00000259128 
DUX4L4 	 ENSG00000258834 
DUXA 	 ENSG00000258873 
DbpA 	 ENSG00000060138 
E2A 	 ENSG00000071564 
E2F1 	 ENSG00000101412 
E2F2 	 ENSG00000007968 
E2F3 	 ENSG00000112242 
E2F4 	 ENSG00000205250 
E2F5 	 ENSG00000133740 
E2F6 	 ENSG00000169016 
E2F7 	 ENSG00000165891 
E2F8 	 ENSG00000129173 
E4F1 	 ENSG00000167967 
EBF1-1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_EBF1-2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_EBF1-3> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_EBF1-4> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_EBF2 	 ENSG00000221818 
EBF1-5 	 ENSG00000164330 
EBF3 	 ENSG00000108001 
EBF4 	 ENSG00000088881 
EGR1 	 ENSG00000120738 
EGR2 	 ENSG00000122877 
EGR3 	 ENSG00000179388 
EGR4 	 ENSG00000135625 
EHF 	 ENSG00000135373 
ELF1 	 ENSG00000120690 
ELF2 	 ENSG00000109381 
ELF3 	 ENSG00000163435 
ELF4 	 ENSG00000102034 
ELF5 	 ENSG00000135374 
ELK1 	 ENSG00000126767 
ELK3 	 ENSG00000111145 
ELK4 	 ENSG00000158711 
ELMSAN1 	 ENSG00000156030 
EMX1 	 ENSG00000135638 
EMX2 	 ENSG00000170370 
EN1 	 ENSG00000163064 
EN2 	 ENSG00000164778 
EPAS1 	 ENSG00000116016 
ERF 	 ENSG00000105722 
ERG 	 ENSG00000157554 
ERRalpha> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_ERRalpha> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_ERRalpha 	 ENSG00000173153 
ERRbeta 	 ENSG00000119715 
ERRgamma-1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_ERRgamma-2 	 ENSG00000196482 
ERalpha 	 ENSG00000091831 
ERbeta 	 ENSG00000140009 
ESX1 	 ENSG00000123576 
ETV1 	 ENSG00000006468 
ETV2 	 ENSG00000105672 
ETV3 	 ENSG00000117036 
ETV3L 	 ENSG00000253831 
ETV4 	 ENSG00000175832 
ETV5 	 ENSG00000244405 
ETV6 	 ENSG00000139083 
ETV7 	 ENSG00000010030 
EVI1 	 ENSG00000085276 
EVX1 	 ENSG00000106038 
EVX2 	 ENSG00000174279 
Ets-1 	 ENSG00000134954 
Ets-2 	 ENSG00000157557 
FERD3L 	 ENSG00000146618 
FEV 	 ENSG00000163497 
FEZF1 	 ENSG00000128610 
FEZF2 	 ENSG00000153266 
FIGalpha 	 ENSG00000183733 
FIZ1 	 ENSG00000179943 
FLI1 	 ENSG00000151702 
FOG1 	 ENSG00000179588 
FOG2 	 ENSG00000169946 
FOXA1 	 ENSG00000129514 
FOXA2 	 ENSG00000125798 
FOXA3 	 ENSG00000170608 
FOXB1 	 ENSG00000171956 
FOXB2 	 ENSG00000204612 
FOXC1 	 ENSG00000054598 
FOXC2 	 ENSG00000176692 
FOXD1 	 ENSG00000251493 
FOXD2 	 ENSG00000186564 
FOXD3 	 ENSG00000187140 
FOXD4 	 ENSG00000170122 
FOXD4L1 	 ENSG00000184492 
FOXD4L3 	 ENSG00000187559 
FOXD4L4 	 ENSG00000184659 
FOXD4L4 	 ENSG00000204828 
FOXD4L5 	 ENSG00000204779 
FOXD4L6 	 ENSG00000204793 
FOXE1 	 ENSG00000178919 
FOXE3 	 ENSG00000186790 
FOXF1 	 ENSG00000103241 
FOXF2 	 ENSG00000137273 
FOXG1 	 ENSG00000176165 
FOXH1 	 ENSG00000160973 
FOXI1 	 ENSG00000168269 
FOXI2 	 ENSG00000186766 
FOXJ1 	 ENSG00000129654 
FOXJ2 	 ENSG00000065970 
FOXJ3 	 ENSG00000198815 
FOXK1 	 ENSG00000164916 
FOXK2 	 ENSG00000141568 
FOXL1 	 ENSG00000176678 
FOXL2 	 ENSG00000183770 
FOXM1 	 ENSG00000111206 
FOXN1 	 ENSG00000109101 
FOXN2 	 ENSG00000170802 
FOXN3 	 ENSG00000053254 
FOXN4 	 ENSG00000139445 
FOXO1 	 ENSG00000150907 
FOXO3 	 ENSG00000118689 
FOXO4 	 ENSG00000184481 
FOXO6 	 ENSG00000204060 
FOXP1 	 ENSG00000114861 
FOXP2 	 ENSG00000128573 
FOXP3 	 ENSG00000049768 
FOXP4 	 ENSG00000137166 
FOXQ1 	 ENSG00000164379 
FOXR1 	 ENSG00000176302 
FOXR2 	 ENSG00000189299 
FOXS1 	 ENSG00000179772 
FXR 	 ENSG00000012504 
FosB 	 ENSG00000125740 
Fra1 	 ENSG00000175592 
Fra2 	 ENSG00000075426 
GABPA 	 ENSG00000154727 
GATA1 	 ENSG00000102145 
GATA3 	 ENSG00000107485 
GATA4 	 ENSG00000136574 
GATA5 	 ENSG00000130700 
GATA6 	 ENSG00000141448 
GATAD1 	 ENSG00000157259 
GATAD2A 	 ENSG00000167491 
GATAD2B 	 ENSG00000143614 
GBX1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_GBX1 	 ENSG00000164900 
GBX2 	 ENSG00000168505 
GCM1 	 ENSG00000137270 
GCM2 	 ENSG00000124827 
GFI1 	 ENSG00000162676 
GFI1B 	 ENSG00000165702 
GLI1 	 ENSG00000111087 
GLI2 	 ENSG00000074047 
GLI3 	 ENSG00000106571 
GLI4 	 ENSG00000250571 
GLIS1 	 ENSG00000174332 
GLIS2 	 ENSG00000126603 
GLIS3 	 ENSG00000107249 
GMEB1 	 ENSG00000162419 
GMEB2 	 ENSG00000101216 
GR 	 ENSG00000113580 
GRHL1 	 ENSG00000134317 
GRHL2 	 ENSG00000083307 
GRHL3 	 ENSG00000158055 
GSC 	 ENSG00000133937 
GSC2 	 ENSG00000063515 
GSX1 	 ENSG00000169840 
GSX2 	 ENSG00000180613 
GTF3A 	 ENSG00000122034 
GZF1 	 ENSG00000125812 
HAND1 	 ENSG00000113196 
HAND2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_PTF1a 	 ENSG00000168267 
HBP1 	 ENSG00000105856 
HDX 	 ENSG00000165259 
HELT 	 ENSG00000187821 
HEN1-UP> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_bHLH-EC2 	 ENSG00000125878 
HEN2 	 ENSG00000177551 
HES2 	 ENSG00000069812 
HES3 	 ENSG00000173673 
HES4 	 ENSG00000188290 
HES5 	 ENSG00000197921 
HES6 	 ENSG00000144485 
HES7 	 ENSG00000179111 
HESX1 	 ENSG00000163666 
HEY1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_HEY1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_HEY1 	 ENSG00000164683 
HEY2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_HEY2 	 ENSG00000135547 
HEYL 	 ENSG00000163909 
HHEX 	 ENSG00000152804 
HIC1 	 ENSG00000177374 
HIC2 	 ENSG00000169635 
HIF1alpha 	 ENSG00000100644 
HIF3alpha 	 ENSG00000124440 
HINFP 	 ENSG00000172273 
HIVEP1 	 ENSG00000095951 
HIVEP2 	 ENSG00000010818 
HIVEP3 	 ENSG00000127124 
HKR1 	 ENSG00000181666 
HLF 	 ENSG00000108924 
HLX1 	 ENSG00000136630 
HMBOX1 	 ENSG00000147421 
HMG20A 	 ENSG00000140382 
HMG20B 	 ENSG00000064961 
HMGA1 	 ENSG00000137309 
HMGA2 	 ENSG00000149948 
HMGA2 	 ENSG00000158427 
HMGA2-1 	 ENSG00000269121 
HMGA2-2 	 ENSG00000258792 
HMGA2-3 	 ENSG00000269103 
HMGA2-4 	 ENSG00000267942 
HMGA2-5 	 ENSG00000269291 
HMGXB3 	 ENSG00000113716 
HMGXB4 	 ENSG00000100281 
HMX1 	 ENSG00000215612 
HMX2 	 ENSG00000188816 
HMX3 	 ENSG00000188620 
HNF1A 	 ENSG00000135100 
HNF1B 	 ENSG00000108753 
HNF4alpha 	 ENSG00000101076 
HNF4gamma 	 ENSG00000164749 
HOMEZ 	 ENSG00000215271 
HOPX 	 ENSG00000171476 
HOXA1 	 ENSG00000105991 
HOXA10 	 ENSG00000253293 
HOXA11 	 ENSG00000005073 
HOXA13 	 ENSG00000106031 
HOXA2 	 ENSG00000105996 
HOXA3 	 ENSG00000105997 
HOXA4 	 ENSG00000197576 
HOXA5 	 ENSG00000106004 
HOXA6 	 ENSG00000106006 
HOXA7 	 ENSG00000122592 
HOXA9 	 ENSG00000078399 
HOXA9 	 ENSG00000257184 
HOXB1 	 ENSG00000120094 
HOXB13 	 ENSG00000159184 
HOXB2 	 ENSG00000173917 
HOXB3 	 ENSG00000120093 
HOXB4 	 ENSG00000182742 
HOXB5 	 ENSG00000120075 
HOXB6 	 ENSG00000108511 
HOXB7 	 ENSG00000260027 
HOXB8 	 ENSG00000120068 
HOXB9 	 ENSG00000170689 
HOXC10 	 ENSG00000180818 
HOXC11 	 ENSG00000123388 
HOXC12 	 ENSG00000123407 
HOXC13 	 ENSG00000123364 
HOXC4 	 ENSG00000198353 
HOXC5 	 ENSG00000172789 
HOXC6 	 ENSG00000197757 
HOXC8 	 ENSG00000037965 
HOXC9 	 ENSG00000180806 
HOXD1 	 ENSG00000128645 
HOXD10 	 ENSG00000128710 
HOXD11 	 ENSG00000128713 
HOXD12 	 ENSG00000170178 
HOXD13 	 ENSG00000128714 
HOXD3 	 ENSG00000128652 
HOXD4 	 ENSG00000170166 
HOXD8 	 ENSG00000175879 
HOXD9 	 ENSG00000128709 
HSF1 	 ENSG00000185122 
HSF2 	 ENSG00000025156 
HSF4 	 ENSG00000102878 
HSF5 	 ENSG00000176160 
HSFX1 	 ENSG00000171116 
HSFX1 	 ENSG00000171129 
HSFX3> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_HSFY1 	 ENSG00000172468 
HSFY1 	 ENSG00000169953 
HTF4 	 ENSG00000140262 
ID1 	 ENSG00000125968 
ID2 	 ENSG00000115738 
ID3 	 ENSG00000117318 
ID4 	 ENSG00000172201 
IKZF1 	 ENSG00000185811 
IKZF2 	 ENSG00000030419 
IKZF3 	 ENSG00000161405 
IKZF4 	 ENSG00000123411 
IKZF5 	 ENSG00000095574 
INSM1 	 ENSG00000173404 
INSM2 	 ENSG00000168348 
IRF1 	 ENSG00000125347 
IRF2 	 ENSG00000168310 
IRF3 	 ENSG00000126456 
IRF4 	 ENSG00000137265 
IRF5 	 ENSG00000128604 
IRF6 	 ENSG00000117595 
IRF7 	 ENSG00000185507 
IRF8 	 ENSG00000140968 
IRF9 	 ENSG00000213928 
IRX1 	 ENSG00000170549 
IRX2 	 ENSG00000170561 
IRX3 	 ENSG00000177508 
IRX4 	 ENSG00000113430 
IRX5 	 ENSG00000176842 
IRX6 	 ENSG00000159387 
ISL1 	 ENSG00000016082 
ISL2 	 ENSG00000159556 
ISX 	 ENSG00000175329 
JARID1A 	 ENSG00000073614 
JARID1B 	 ENSG00000117139 
JARID1C 	 ENSG00000012817 
JARID1C 	 ENSG00000126012 
JARID2 	 ENSG00000008083 
JDP2 	 ENSG00000140044 
JunB 	 ENSG00000171223 
JunD 	 ENSG00000130522 
KAT5 	 ENSG00000172977 
KDM2A 	 ENSG00000173120 
KLF1 	 ENSG00000105610 
KLF10 	 ENSG00000155090 
KLF11 	 ENSG00000172059 
KLF12 	 ENSG00000118922 
KLF13 	 ENSG00000169926 
KLF14 	 ENSG00000174595 
KLF15 	 ENSG00000163884 
KLF16 	 ENSG00000129911 
KLF17 	 ENSG00000171872 
KLF2 	 ENSG00000127528 
KLF3 	 ENSG00000109787 
KLF4 	 ENSG00000136826 
KLF5 	 ENSG00000102554 
KLF6 	 ENSG00000067082 
KLF7 	 ENSG00000118263 
KLF8 	 ENSG00000102349 
KLF9 	 ENSG00000119138 
KMT2B 	 ENSG00000272333 
L3MBTL1 	 ENSG00000185513 
LBX1 	 ENSG00000138136 
LBX2 	 ENSG00000179528 
LEF1 	 ENSG00000138795 
LEUTX 	 ENSG00000213921 
LHX1 	 ENSG00000132130 
LHX2 	 ENSG00000106689 
LHX3 	 ENSG00000107187 
LHX4 	 ENSG00000121454 
LHX5 	 ENSG00000089116 
LHX6 	 ENSG00000106852 
LHX8 	 ENSG00000162624 
LHX9 	 ENSG00000143355 
LMX1alpha 	 ENSG00000162761 
LMX1beta 	 ENSG00000136944 
LMYC 	 ENSG00000116990 
LRRFIP1 	 ENSG00000124831 
LRRFIP2 	 ENSG00000093167 
LXRalpha 	 ENSG00000025434 
LXRbeta 	 ENSG00000131408 
LYAR 	 ENSG00000145220 
LYL1 	 ENSG00000104903 
MAD5 	 ENSG00000174197 
MAFA 	 ENSG00000182759 
MAFB 	 ENSG00000204103 
MAFF 	 ENSG00000185022 
MAFK 	 ENSG00000198517 
MAX 	 ENSG00000125952 
MAZ 	 ENSG00000103495 
MBD1 	 ENSG00000141644 
MEF2A 	 ENSG00000068305 
MEF2B 	 ENSG00000064489 
MEF2B 	 ENSG00000213999 
MEF2C 	 ENSG00000081189 
MEF2D 	 ENSG00000116604 
MEIS1 	 ENSG00000143995 
MEIS2 	 ENSG00000134138 
MEIS3 	 ENSG00000105419 
MEOX1 	 ENSG00000005102 
MEOX2 	 ENSG00000106511 
MESP1 	 ENSG00000166823 
MESP2 	 ENSG00000188095 
MGA 	 ENSG00000174197 
MIER1 	 ENSG00000198160 
MIER2 	 ENSG00000105556 
MIER3 	 ENSG00000155545 
MITF 	 ENSG00000187098 
MIXL1 	 ENSG00000185155 
MKX 	 ENSG00000150051 
MLL 	 ENSG00000118058 
MLX 	 ENSG00000108788 
MNT 	 ENSG00000070444 
MNX1 	 ENSG00000130675 
MONDOA 	 ENSG00000175727 
MONDOB 	 ENSG00000009950 
MR 	 ENSG00000151623 
MSANTD1 	 ENSG00000188981 
MSC 	 ENSG00000178860 
MSGN1 	 ENSG00000151379 
MSX1 	 ENSG00000163132 
MSX2 	 ENSG00000120149 
MTA1 	 ENSG00000182979 
MTA2 	 ENSG00000149480 
MTA2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_MTA2 	 ENSG00000149480 
MTA3 	 ENSG00000057935 
MTF1 	 ENSG00000188786 
MXD1 	 ENSG00000059728 
MXD3 	 ENSG00000213347 
MXD4 	 ENSG00000123933 
MXI1 	 ENSG00000119950 
MYB 	 ENSG00000118513 
MYF5 	 ENSG00000111049 
MYF6 	 ENSG00000111046 
MYNN 	 ENSG00000085274 
MYOG 	 ENSG00000122180 
MYPOP 	 ENSG00000176182 
MYRF 	 ENSG00000124920 
MYST1 	 ENSG00000103510 
MYST2 	 ENSG00000136504 
MYST3 	 ENSG00000083168 
MYST4 	 ENSG00000156650 
MYT1 	 ENSG00000196132 
MYT1L 	 ENSG00000186487 
MZF1 	 ENSG00000099326 
MyoD 	 ENSG00000129152 
NANOG 	 ENSG00000111704 
NANOGNB 	 ENSG00000205857 
NANOGNB 	 ENSG00000255046 
NCOA1 	 ENSG00000084676 
NCOA2 	 ENSG00000140396 
NCOA3 	 ENSG00000124151 
NCoR1 	 ENSG00000141027 
NCoR2 	 ENSG00000196498 
NEUROD1 	 ENSG00000162992 
NEUROD2 	 ENSG00000171532 
NEUROD4 	 ENSG00000123307 
NEUROD6 	 ENSG00000164600 
NF1A 	 ENSG00000162599 
NF1B 	 ENSG00000147862 
NF1C 	 ENSG00000141905 
NF1X 	 ENSG00000008441 
NFAT5 	 ENSG00000102908 
NFATc1 	 ENSG00000131196 
NFATc2 	 ENSG00000101096 
NFATc3 	 ENSG00000072736 
NFATc4 	 ENSG00000100968 
NFE2 	 ENSG00000123405 
NFE2L1 	 ENSG00000082641 
NFE2L2 	 ENSG00000116044 
NFE2L3 	 ENSG00000050344 
NFIL3 	 ENSG00000165030 
NFKB2 	 ENSG00000077150 
NFX1 	 ENSG00000086102 
NFX1 	 ENSG00000124201 
NFXL1 	 ENSG00000170448 
NFYA 	 ENSG00000001167 
NFYB 	 ENSG00000120837 
NFYC 	 ENSG00000066136 
NGFIB 	 ENSG00000123358 
NGN1 	 ENSG00000181965 
NGN2 	 ENSG00000178403 
NGN3 	 ENSG00000122859 
NKX1-1 	 ENSG00000235608 
NKX1-2 	 ENSG00000229544 
NKX2-1 	 ENSG00000136352 
NKX2-2 	 ENSG00000125820 
NKX2-3 	 ENSG00000119919 
NKX2-4 	 ENSG00000125816 
NKX2-5 	 ENSG00000183072 
NKX2-6 	 ENSG00000180053 
NKX2-8 	 ENSG00000136327 
NKX3-1 	 ENSG00000167034 
NKX3-2 	 ENSG00000109705 
NKX6-1 	 ENSG00000163623 
NKX6-2 	 ENSG00000148826 
NKX6-3 	 ENSG00000165066 
NMYC 	 ENSG00000134323 
NOBOX 	 ENSG00000106410 
NOR1 	 ENSG00000119508 
NOTO 	 ENSG00000214513 
NPAS1 	 ENSG00000130751 
NPAS2 	 ENSG00000170485 
NPAS3 	 ENSG00000151322 
NPAS4 	 ENSG00000174576 
NR0B1 	 ENSG00000169297 
NR0B2 	 ENSG00000131910 
NR2F6 	 ENSG00000160113 
NR2F6 	 ENSG00000269095 
NR5A2 	 ENSG00000116833 
NR5A2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_NR5A2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_NR5A2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_NR5A1 	 ENSG00000136931 
NR6A1 	 ENSG00000148200 
NRF1 	 ENSG00000106459 
NRL 	 ENSG00000129535 
NURR1 	 ENSG00000153234 
NonO 	 ENSG00000116560 
NonO 	 ENSG00000147140 
OLIG1 	 ENSG00000184221 
OLIG2 	 ENSG00000205927 
OLIG3 	 ENSG00000177468 
ONECUT1 	 ENSG00000169856 
ONECUT2 	 ENSG00000119547 
ONECUT3 	 ENSG00000205922 
OSR1 	 ENSG00000143867 
OSR2 	 ENSG00000143867 
OSR2 	 ENSG00000164920 
OTP 	 ENSG00000171540 
OTX1 	 ENSG00000115507 
OTX2 	 ENSG00000165588 
OVOL1 	 ENSG00000172818 
OVOL2 	 ENSG00000125850 
OVOL3 	 ENSG00000105261 
PATZ1 	 ENSG00000100105 
PAX1 	 ENSG00000125813 
PAX2 	 ENSG00000075891 
PAX3 	 ENSG00000135903 
PAX4 	 ENSG00000106331 
PAX5 	 ENSG00000196092 
PAX6 	 ENSG00000007372 
PAX7 	 ENSG00000009709 
PAX8 	 ENSG00000125618 
PAX9 	 ENSG00000198807 
PBRM1 	 ENSG00000163939 
PBX1 	 ENSG00000185630 
PBX2 	 ENSG00000204304 
PBX3 	 ENSG00000167081 
PBX4 	 ENSG00000105717 
PDX1 	 ENSG00000139515 
PEG3 	 ENSG00000198300 
PHF5A 	 ENSG00000100410 
PHOX2A 	 ENSG00000165462 
PHOX2B 	 ENSG00000109132 
PHTF1 	 ENSG00000116793 
PHTF2 	 ENSG00000006576 
PITX1 	 ENSG00000069011 
PITX2 	 ENSG00000164093 
PITX3 	 ENSG00000107859 
PKNOX1 	 ENSG00000160199 
PKNOX2 	 ENSG00000165495 
PLAG1 	 ENSG00000181690 
PLAGL1 	 ENSG00000118495 
PLAGL2 	 ENSG00000126003 
POU1F1 	 ENSG00000064835 
POU2F1 	 ENSG00000143190 
POU2F2 	 ENSG00000028277 
POU2F3 	 ENSG00000137709 
POU3F1 	 ENSG00000185668 
POU3F2 	 ENSG00000184486 
POU3F3 	 ENSG00000198914 
POU3F4 	 ENSG00000196767 
POU4F1 	 ENSG00000152192 
POU4F2 	 ENSG00000151615 
POU4F3 	 ENSG00000091010 
POU5F1 	 ENSG00000204531 
POU5F1 	 ENSG00000212993 
POU5F2 	 ENSG00000248483 
POU6F1 	 ENSG00000184271 
POU6F2 	 ENSG00000106536 
PPARalpha 	 ENSG00000186951 
PPARbeta 	 ENSG00000112033 
PPARgamma 	 ENSG00000132170 
PR 	 ENSG00000082175 
PRDM1 	 ENSG00000057657 
PRDM10 	 ENSG00000170325 
PRDM13 	 ENSG00000112238 
PRDM14 	 ENSG00000147596 
PRDM15 	 ENSG00000141956 
PRDM16 	 ENSG00000142611 
PRDM2 	 ENSG00000116731 
PRDM4 	 ENSG00000110851 
PRDM5 	 ENSG00000138738 
PRDM6 	 ENSG00000061455 
PRDM8 	 ENSG00000152784 
PRDM9 	 ENSG00000164256 
PRKRIR 	 ENSG00000137492 
PROP1 	 ENSG00000175325 
PROX1 	 ENSG00000117707 
PROX2 	 ENSG00000119608 
PRRX1 	 ENSG00000116132 
PRRX2 	 ENSG00000167157 
PSPC1 	 ENSG00000121390 
PURA 	 ENSG00000185129 
PURB 	 ENSG00000146676 
PURG 	 ENSG00000172733 
PXR 	 ENSG00000144852 
RAI 	 ENSG00000104881 
RARB-2 	 ENSG00000077092 
RARG-1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_RARB-1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_RARG-2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_RARA 	 ENSG00000131759 
RARG-3 	 ENSG00000172819 
RAX 	 ENSG00000134438 
RAX2 	 ENSG00000173976 
RBAK 	 ENSG00000146587 
RBAK 	 ENSG00000164631 
